Yearly,Gold_prices
1901,18.98
1902,18.97
1903,18.95
1904,18.96
1905,18.92
1906,18.9
1907,18.94
1908,18.95
1909,18.96
1910,18.92
1911,18.92
1912,18.93
1913,18.92
1914,18.99
1915,18.99
1916,18.99
1917,18.99
1918,18.99
1919,19.95
1920,20.68
1921,20.58
1922,20.66
1923,21.32
1924,20.69
1925,20.64
1926,20.63
1927,20.64
1928,20.66
1929,20.63
1930,20.65
1931,17.06
1932,20.69
1933,26.33
1934,34.69
1935,34.84
1936,34.87
1937,34.79
1938,34.85
1939,34.42
1940,33.85
1941,33.85
1942,33.85
1943,33.85
1944,33.85
1945,34.71
1946,34.71
1947,34.71
1948,34.71
1949,31.69
1950,34.72
1951,34.72
1952,34.6
1953,34.84
1954,35.04
1955,35.03
1956,34.99
1957,34.95
1958,35.1
1959,35.1
1960,35.27
1961,35.25
1962,35.23
1963,35.09
1964,35.1
1965,35.12
1966,35.13
1967,34.95
1968,39.31
1969,41.28
1970,35.98
1971,40.96
1972,59.14
1973,100.01
1974,161.58
1975,160.34
1976,124.01
1977,148.98
1978,197.14
1979,320.08
1980,603.52
1981,449.67
1982,378.43
1983,418.01
1984,357.9
1985,320.04
1986,367.75
1987,449.98
1988,432.39
1989,379.43
1990,382.77
1991,359.41
1992,343.28
1993,363.93
1994,384.65
1995,384.3
1996,386.43
1997,329.56
1998,294.56
1999,279.85
2000,277.05
2001,271.08
2002,313.18
2003,367.76
2004,410.48
2005,448.94
2006,612.91
2007,704.19
2008,880.48
2009,981.23
2010,1232.56
2011,1567.96
2012,1677.77
2013,1393.69
2014,1255.31
2015,1151.3
2016,1247.66
2017,1265.99
2018,1264.83
2019,1404.31
2020,1778.64
2021,1790.94
2022,1852.52
